Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Latitude,Longitude,School,IPEDS_ID,Languages,Devices_available,Accessibility,Clients,Public,Programslist
,,,,,Yakima,,98901,US,38.436311,-78.870484, James Madison University,232423,,,,,,"Biology/Biological Sciences (General), Biotechnology, Accounting, Business Administration and Management (General), Business/Managerial Economics, Finance (General), Hospitality Administration/Management (General), International Business/Trade/Commerce, Marketing/Marketing Management (General), Speech Communication and Rhetoric, Computer and Information Sciences (General), Information Science/Studies, Adult and Continuing Education and Teaching, Counselor Education/School Counseling and Guidance Services, Early Childhood Education and Teaching, Education (General), Elementary Education and Teaching, Health Teacher Education, Mathematics Teacher Education, Special Education and Teaching (General), Engineering (General), English Language and Literature (General), Professional/Technical/Business/Scientific Writing, Foods/Nutrition/Wellness Studies (General), Foreign Languages and Literatures (General), Adult Health Nurse/Nursing, Athletic Training/Trainer, Audiology/Audiologist, Community Health Services/Liaison/Counseling, Health/Health Care Administration/Management, Nursing Practice, Occupational Therapy/Therapist, Physician Assistant, Registered Nursing/Registered Nurse, SpeechLanguage Pathology/Pathologist, History (General), Advanced Legal Research/Studies (General), Liberal Arts and Sciences/Liberal Studies, Financial Mathematics, Mathematics (General), Multi/Interdisciplinary Studies (Other), Science/Technology and Society, Systems Science and Theory, Sport and Fitness Administration/Management, Sports/Kinesiology/Physical Education/Fitness (General), Philosophy and Religious Studies (Other), Chemistry (General), Geology/Earth Science (General), Physics (General), Clinical/Counseling and Applied Psychology (Other), Psychology (General), Psychometrics and Quantitative Psychology, School Psychology, Public Administration, Social Work, Anthropology (General), Economics (General), Geography, International Relations and Affairs, Political Science and Government (General), Sociology (General), Art History/Criticism and Conservation, Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Music Pedagogy, Music Performance (General)"
,,,,,Chehalis,,98532-0419,US,37.350232,-79.18222, Liberty University,232557,,,,,,"Biochemistry, Biological and Biomedical Sciences (Other), Biology/Biological Sciences (General), Biomedical Sciences (General), Biotechnology, Environmental Biology, Exercise Physiology and Kinesiology, Wildlife Biology, Zoology/Animal Biology, Accounting, Business Administration and Management (General), Business/Commerce (General), Finance (General), Management Information Systems (General), Marketing/Marketing Management (General), Organizational Leadership, Project Management, Communication (General), Digital Communication and Media/Multimedia, Journalism, Public Relations/Advertising/Applied Communication (Other), Speech Communication and Rhetoric, Computer and Information Sciences (General), Computer and Information Systems Security/Auditing/Information Assurance, Informatics, Information Technology, Counselor Education/School Counseling and Guidance Services, Curriculum and Instruction, Early Childhood Education and Teaching, Education (General), Education (Other), Education/Teaching of the Gifted and Talented, Educational Leadership and Administration (General), Educational/Instructional Technology, Elementary Education and Teaching, English/Language Arts Teacher Education, Foreign Language Teacher Education, Health Teacher Education, Higher Education/Higher Education Administration, History Teacher Education, Junior High/Intermediate/Middle School Education and Teaching, Mathematics Teacher Education, Reading Teacher Education, Secondary Education and Teaching, Special Education and Teaching (General), Student Counseling and Personnel Services (Other), Teaching English as a Second or Foreign Language/ESL Language Instructor, Urban Education and Leadership, Computer Engineering (General), Computer Software Engineering, Electrical and Electronics Engineering, Engineering (General), Industrial Engineering, Mechanical Engineering, Engineering/Industrial Management, Creative Writing, English Language and Literature (General), Professional/Technical/Business/Scientific Writing, Rhetoric and Composition, Apparel and Textiles (General), Family and Consumer Sciences/Human Sciences (General), Human Development and Family Studies (General), American Sign Language (ASL), Ancient Near Eastern and Biblical Languages/Literatures/Linguistics, Spanish Language and Literature, Athletic Training/Trainer, Health Services/Allied Health/Health Sciences (General), Health/Health Care Administration/Management, Mental and Social Health Services and Allied Professions (Other), Nursing Administration, Nursing Practice, Osteopathic Medicine/Osteopathy, Public Health Education and Promotion, Public Health (General), Registered Nursing/Registered Nurse, Respiratory Care Therapy/Therapist, Substance Abuse/Addiction Counseling, History (General), Military History, Criminal Justice/Safety Studies, Fire Services Administration, Forensic Science and Technology, Advanced Legal Research/Studies (General), American/U.S. Law/Legal Studies/Jurisprudence, International Law and Legal Studies, Law, Legal Assistant/Paralegal, PreLaw Studies, Liberal Arts and Sciences/Liberal Studies, Applied Mathematics (General), Mathematics (General), Aerospace Ground Equipment Technology, Cyber/Electronic Operations and Warfare, Biopsychology, Cultural Studies/Critical Theory and Analysis, Human Biology, International/Globalization Studies, Multi/Interdisciplinary Studies (General), Multi/Interdisciplinary Studies (Other), Nutrition Sciences, Exercise Science and Kinesiology, Outdoor Education, Sport and Fitness Administration/Management, Sports/Kinesiology/Physical Education/Fitness (General), Christian Studies, Philosophy, Religion/Religious Studies, Chemistry (General), Physics (General), Applied Psychology, Counseling Psychology, Psychology (General), Human Services (General), Public Administration, Public Policy Analysis (General), Social Work, International Relations and Affairs, National Security Policy Studies, Political Science and Government (General), Social Sciences (General), Bible/Biblical Studies, Divinity/Ministry, Lay Ministry, Pastoral Studies/Counseling, Religious Education, Religious/Sacred Music, Theology and Religious Vocations (Other), Theology/Theological Studies, Youth Ministry, Aeronautics/Aviation/Aerospace Science and Technology (General), Aviation/Airway Management and Operations, Acting, Brass Instruments, Cinematography and Film/Video Production, Design and Visual Communications (General), Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Graphic Design, Interior Design, Keyboard Instruments, Music History/Literature/Theory, Music Pedagogy, Music (General), Music (Other), Musical Theatre, Musicology and Ethnomusicology, Voice and Opera"
,,,,,Seattle,,98105,US,37.297975,-78.396987, Longwood University,232566,,,,,,"Biology/Biological Sciences (General), Business Administration and Management (General), Speech Communication and Rhetoric, Computer Science, Counselor Education/School Counseling and Guidance Services, Education (General), Elementary Education and Teaching, Physical Education Teaching and Coaching, Reading Teacher Education, School Librarian/School Library Media Specialist, Teacher Education/Multiple Levels, English Language and Literature (General), Foreign Languages and Literatures (General), Athletic Training/Trainer, Audiology/Audiologist and SpeechLanguage Pathology/Pathologist, Registered Nursing/Registered Nurse, Therapeutic Recreation/Recreational Therapy, History (General), Criminal Justice/Safety Studies, Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Environmental Science, Exercise Science and Kinesiology, Chemistry (General), Physics (General), Psychology (General), Social Work, Anthropology (General), Economics (General), Political Science and Government (General), Sociology (General), Graphic Design, Visual and Performing Arts (General)"
,,,,,Tumwater,,98501-6563,US,37.399774,-79.181653, University of Lynchburg,232609,,,,,,"Biology/Biological Sciences (General), Biomedical Sciences (General), Exercise Physiology and Kinesiology, Accounting, Business Administration and Management (General), Marketing/Marketing Management (General), Organizational Leadership, Speech Communication and Rhetoric, Computer and Information Sciences (General), Counselor Education/School Counseling and Guidance Services, Curriculum and Instruction, Education (General), Educational Leadership and Administration (General), Higher Education/Higher Education Administration, Music Teacher Education, Reading Teacher Education, Science Teacher Education/General Science Teacher Education, Special Education and Teaching (General), Teacher Education and Professional Development/Specific Levels and Methods (Other), English Language and Literature (General), Athletic Training/Trainer, Community Health Services/Liaison/Counseling, Health/Health Care Administration/Management, Physical Therapy/Therapist, Physician Assistant, Public Health Education and Promotion, Public Health (General), Registered Nursing/Registered Nurse, History (General), Mathematics (General), Statistics (General), Multi/Interdisciplinary Studies (General), Environmental Science, Sport and Fitness Administration/Management, Sports/Kinesiology/Physical Education/Fitness (General), Philosophy, Chemistry (General), Physics (General), Psychology (General), Criminology, Economics (General), International Relations and Affairs, Political Science and Government (General), Sociology (General), Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Music (General)"
,,,,,Touchet,,99361,US,38.153884,-79.069273, Mary Baldwin University,232672,,,,,,"Biochemistry, Biology/Biological Sciences (General), Environmental Biology, Business Administration and Management (General), Business/Managerial Economics, Marketing/Marketing Management (General), Education (Other), Education/Teaching of Individuals with Autism, Higher Education/Higher Education Administration, Teacher Education/Multiple Levels, English Language and Literature (General), Health Services/Allied Health/Health Sciences (General), Health/Health Care Administration/Management, Nursing Administration, Occupational Therapy/Therapist, Physical Therapy/Therapist, Physician Assistant, Registered Nursing/Registered Nurse, History (General), Liberal Arts and Sciences/Liberal Studies, Applied Mathematics (General), Mathematics (General), Multi/Interdisciplinary Studies (Other), Exercise Science and Kinesiology, Applied Behavior Analysis, Psychology (General), Social Work, Criminology, Economics (General), International Relations and Affairs, Political Science and Government (General), Social Sciences (Other), Sociology (General), Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Dramatic/Theatre Arts and Stagecraft (Other), Fine and Studio Arts Management, Fine/Studio Arts (General), Music (General)"
,,,,,Bellevue,,98006,US,38.302492,-77.476055, University of Mary Washington,232681,,,,,,"Biology/Biological Sciences (General), Business Administration and Management (General), Communication (General), Computer and Information Sciences (General), Education (General), Elementary Education and Teaching, English Language and Literature (General), Classics and Classical Languages/Literatures/Linguistics (General), Foreign Languages and Literatures (General), Registered Nursing/Registered Nurse, History (General), Liberal Arts and Sciences (General) Studies and Humanities (Other), Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Historic Preservation and Conservation (General), Philosophy and Religious Studies (Other), Chemistry (General), Physical Sciences (Other), Physics (General), Psychology (General), Anthropology (General), Economics (General), Geographic Information Science and Cartography, Geography, International Relations and Affairs, Political Science and Government (General), Sociology (General), Art History/Criticism and Conservation, Fine Arts and Art Studies (Other), Music (General), Visual and Performing Arts (General)"
,,,,,Seattle,,98106,US,38.905562,-77.128785, Marymount University,232706,,,,,,"Biochemistry, Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Fashion Merchandising, Human Resources Management/Personnel Administration (General), Science/Technology Management, Communication (General), Computer and Information Systems Security/Auditing/Information Assurance, Information Technology, Curriculum and Instruction, Educational Leadership and Administration (General), Elementary Education and Teaching, Secondary Education and Teaching, Special Education and Teaching (General), English Language and Literature (General), Family Practice Nurse/Nursing, Health Services/Allied Health/Health Sciences (General), Health/Health Care Administration/Management, Mental Health Counseling/Counselor, Nursing Practice, Physical Therapy/Therapist, Public Health Education and Promotion, Registered Nursing/Registered Nurse, History (General), Criminal Justice/Law Enforcement Administration, Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Religion/Religious Studies, Forensic Psychology, Psychology (General), Economics (General), Political Science and Government (General), Sociology (General), Design and Visual Communications (General), Fashion/Apparel Design, Fine/Studio Arts (General), Interior Design"
,,,,,Ritzville,,99169-1412,US,36.848429,-76.261375, Norfolk State University,232937,,,,,,"Biology/Biological Sciences (General), Accounting, Business/Commerce (General), Communication/Journalism/Related Programs (Other), Computer and Information Sciences (General), Computer and Information Systems Security/Auditing/Information Assurance, Information Technology, Education/Teaching of Individuals with Multiple Disabilities, Kindergarten/Preschool Education and Teaching, Teacher Education and Professional Development/Specific Levels and Methods (Other), Electrical and Electronics Engineering, Engineering (Other), Computer Engineering Technology/Technician, Construction Engineering Technology/Technician, Electrical/Electronic/Communications Engineering Technology/Technician, English Language and Literature (General), Family and Consumer Sciences/Human Sciences (Other), Health/Health Care Administration/Management, Registered Nursing/Registered Nurse, History (General), Criminal Justice/Safety Studies, Mathematics (General), Multi/Interdisciplinary Studies (Other), Exercise Science and Kinesiology, Atomic/Molecular Physics, Chemistry (General), Materials Science, Physics (General), Clinical Psychology, Psychology (General), Social Work, Political Science and Government (General), Sociology (General), Urban Studies/Affairs, Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Music Performance (General), Music (General), Visual and Performing Arts (General)"
,,,,,Seattle,,98118,US,36.886418,-76.30666, Old Dominion University,232982,,,,,,"AfricanAmerican/Black Studies, Asian Studies/Civilization, Women's Studies, Biochemistry, Biology/Biological Sciences (General), Biomedical Sciences (General), Ecology, Accounting, Business Administration and Management (General), Business/Managerial Economics, Finance (General), Logistics/Materials/Supply Chain Management, Management Information Systems (General), Marketing/Marketing Management (General), Communication and Media Studies (Other), Computer and Information Sciences (General), Computer and Information Systems Security/Auditing/Information Assurance, Community College Administration, Counselor Education/School Counseling and Guidance Services, Early Childhood Education and Teaching, Education (Other), Educational Leadership and Administration (General), Elementary Education and Teaching, Kindergarten/Preschool Education and Teaching, Music Teacher Education, Physical Education Teaching and Coaching, Reading Teacher Education, Secondary Education and Teaching, Special Education and Teaching (General), Teacher Education and Professional Development/Specific Subject Areas (Other), Technology Teacher Education/Industrial Arts Teacher Education, Civil Engineering (General), Computer Engineering (General), Electrical and Electronics Engineering, Engineering (General), Engineering (Other), Mechanical Engineering, Engineering/EngineeringRelated Technologies/Technicians (Other), Creative Writing, English Language and Literature (General), English Language and Literature/Letters (Other), Rhetoric and Composition, Rhetoric and Composition/Writing Studies (Other), Foreign Languages and Literatures (General), Athletic Training/Trainer, Audiology/Audiologist and SpeechLanguage Pathology/Pathologist, Clinical Laboratory Science/Medical Technology/Technologist, Community Health Services/Liaison/Counseling, Dental Hygiene/Hygienist, Health Professions and Related Clinical Sciences (Other), Mental and Social Health Services and Allied Professions (Other), Nuclear Medical Technology/Technologist, Physical Therapy/Therapist, Public Health (General), Registered Nursing/Nursing Administration/Nursing Research and Clinical Nursing (Other), Registered Nursing/Registered Nurse, SpeechLanguage Pathology/Pathologist, History (General), Humanities/Humanistic Studies, Library and Information Science, Applied Mathematics (General), Mathematics (General), Data Science (General), Multi/Interdisciplinary Studies (Other), Exercise Science and Kinesiology, Parks/Recreation/Leisure Facilities Management (General), Sport and Fitness Administration/Management, Philosophy, Chemistry (General), Geological and Earth Sciences/Geosciences (Other), Oceanography/Chemical and Physical, Physics (General), Clinical Psychology, Psychology (General), Public Administration, Criminology, Econometrics and Quantitative Economics, Economics (General), Geography, International Relations and Affairs, Political Science and Government (General), Sociology (General), Art History/Criticism and Conservation, Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Music Performance (General)"
,,,,,Hoodsport,,98548-0847,US,37.136907,-80.549728, Radford University,233277,,,,,,"Biology/Biological Sciences (General), Biomedical Sciences (General), Accounting, Business Administration and Management (General), Finance (General), Marketing/Marketing Management (General), Journalism, Speech Communication and Rhetoric, Computer and Information Systems Security/Auditing/Information Assurance, Computer Science, Data Modeling/Warehousing and Database Administration, Information Science/Studies, Counselor Education/School Counseling and Guidance Services, Education (General), Educational Leadership and Administration (General), Physical Education Teaching and Coaching, Reading Teacher Education, Special Education and Teaching (General), English Language and Literature (General), Foods/Nutrition/Wellness Studies (General), Foreign Languages and Literatures (General), Audiology/Audiologist and SpeechLanguage Pathology/Pathologist, Clinical Laboratory Science/Medical Technology/Technologist, Communication Sciences and Disorders (General), Community Health and Preventive Medicine, Emergency Medical Technology/Technician (EMT Paramedic), Family Practice Nurse/Nursing, Health Professions and Related Clinical Sciences (Other), Health Services/Allied Health/Health Sciences (General), Health/Health Care Administration/Management, Nursing Administration, Nursing Practice, Occupational Therapy/Therapist, Physical Therapy/Therapist, Physician Assistant, Public Health (General), Registered Nursing/Registered Nurse, Respiratory Care Therapy/Therapist, History (General), Criminal Justice/Safety Studies, Mathematics (General), Multi/Interdisciplinary Studies (Other), Parks/Recreation/Leisure Studies, Sport and Fitness Administration/Management, Philosophy and Religious Studies (Other), Chemistry (General), Geology/Earth Science (General), Physics (General), Counseling Psychology, Psychology (General), Social Work, Anthropology (General), Economics (General), Geographic Information Science and Cartography, Political Science and Government (General), Social Sciences (General), Sociology (General), Art/Art Studies (General), Dance (General), Design and Visual Communications (General), Drama and Dramatics/Theatre Arts (General), Music (General)"
,,,,,Yakima,,98901-3509,US,37.76043,-77.478416, Randolph-Macon College,233295,,,,,,"Asian Studies/Civilization, Biology/Biological Sciences (General), Neuroscience, Accounting, Business/Commerce (General), Communication (General), Computer and Information Sciences (General), Computer and Information Systems Security/Auditing/Information Assurance, Engineering Physics/Applied Physics, English Language and Literature (General), Writing (General), Classics and Classical Languages/Literatures/Linguistics (General), Latin Language and Literature, Spanish Language and Literature, History (General), Mathematics (General), Classical/Ancient Mediterranean/Near Eastern Studies and Archaeology, International/Globalization Studies, Environmental Studies, Philosophy, Religion/Religious Studies, Chemistry (General), Physics (General), Psychology (General), Criminology, Economics (General), Political Science and Government (General), Sociology (General), Drama and Dramatics/Theatre Arts (General), Fine and Studio Arts Management, Fine/Studio Arts (General), Music (General)"
,,,,,Spokane,,99208-9155,US,37.437315,-79.171887, Randolph College,233301,,,,,,"Biology/Biological Sciences (General), Business/Commerce (General), Mass Communication/Media Studies, Curriculum and Instruction, Elementary Education and Teaching, Special Education and Teaching (General), Engineering Physics/Applied Physics, Creative Writing, English Language and Literature (General), Classics and Classical Languages/Literatures/Linguistics (General), History (General), Mathematics (General), International/Globalization Studies, Mathematics and Computer Science, Museology/Museum Studies, Environmental Science, Sports Studies, Sports/Kinesiology/Physical Education/Fitness (General), Religion/Religious Studies, Chemistry (General), Physics (General), Psychology (General), Economics (General), Political Science and Government (General), Sociology (General), Art History/Criticism and Conservation, Drama and Dramatics/Theatre Arts (General), Music History/Literature/Theory"
,,,,,Spokane,,99218-1597,US,37.577393,-77.538806, University of Richmond,233374,,,,,,"American/United States Studies/Civilization, German Studies, Near and Middle Eastern Studies, Russian Studies, Biology/Biological Sciences (General), Molecular Biochemistry, Accounting, Business Administration and Management (General), Human Resources Management/Personnel Administration (General), NonProfit/Public/Organizational Management, Organizational Behavior Studies, Journalism, Computer and Information Sciences (General), Information Technology, Curriculum and Instruction, Educational Leadership and Administration (General), Elementary Education and Teaching, Secondary Education and Teaching, Teacher Education and Professional Development/Specific Levels and Methods (Other), English Language and Literature (General), Rhetoric and Composition, French Language and Literature, Spanish Language and Literature, Bioethics/Medical Ethics, History (General), Law, Legal Assistant/Paralegal, Programs for Foreign Lawyers, Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Ancient Studies/Civilization, Cognitive Science (General), International/Globalization Studies, Multi/Interdisciplinary Studies (Other), Environmental Studies, Philosophy, Chemistry (General), Physics (General), Psychology (General), Anthropology (General), Econometrics and Quantitative Economics, Geography, Political Science and Government (General), Sociology (General), Art History/Criticism and Conservation, Drama and Dramatics/Theatre Arts (General), Film/Cinema/Media Studies, Fine/Studio Arts (General), Music (General)"
,,,,,Roslyn,,98941,US,37.294861,-80.055467, Roanoke College,233426,,,,,,"Biochemistry, Biology/Biological Sciences (General), Actuarial Science, Business Administration and Management (General), Communication (General), Computer Science, Education (General), Elementary Education and Teaching, Physical Education Teaching and Coaching, Teacher Education and Professional Development/Specific Levels and Methods (Other), Teacher Education and Professional Development/Specific Subject Areas (Other), Creative Writing, English Language and Literature (General), French Language and Literature, Spanish Language and Literature, Public Health (General), History (General), Criminal Justice/Safety Studies, Mathematics (General), Multi/Interdisciplinary Studies (General), Environmental Studies, Exercise Science and Kinesiology, Sport and Fitness Administration/Management, Christian Studies, Philosophy, Chemistry (General), Physics (General), Psychology (General), Economics (General), International Relations and Affairs, Political Science and Government (General), Sociology (General), Art History/Criticism and Conservation, Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Music (General)"
,,,,,Okanogan,,98840,US,39.167355,-78.157433, Shenandoah University,233541,,,,,,"Biological and Biomedical Sciences (Other), Biology/Biological Sciences (General), Exercise Physiology and Kinesiology, Business Administration and Management (General), Business Administration/Management and Operations (Other), Business/Managerial Economics, Organizational Leadership, Speech Communication and Rhetoric, Computer and Information Systems Security/Auditing/Information Assurance, Computer Science, Information Technology, Modeling/Virtual Environments and Simulation, Education (General), Educational Leadership and Administration (General), Elementary Education and Teaching, Music Teacher Education, Physical Education Teaching and Coaching, Secondary Education and Teaching, English Language and Literature (General), Spanish Language and Literature, Athletic Training/Trainer, Music Therapy/Therapist, Occupational Therapy/Therapist, Pharmacy, Physical Therapy/Therapist, Physician Assistant, Public Health (General), Public Health (Other), Registered Nursing/Nursing Administration/Nursing Research and Clinical Nursing (Other), Registered Nursing/Registered Nurse, History (General), Criminal Justice/Law Enforcement Administration, Liberal Arts and Sciences/Liberal Studies, Computational and Applied Mathematics, Mathematics (General), Environmental Studies, Exercise Science and Kinesiology, Sport and Fitness Administration/Management, Sports Studies, Chemistry (General), Applied Behavior Analysis, Psychology (General), Human Services (General), Political Science and Government (General), Sociology (General), Acting, Arts/Entertainment/Media Management (General), Dance (General), Music Pedagogy, Music Performance (General), Music Technology, Music Theory and Composition, Musical Theatre, Technical Theatre/Theatre Design and Technology"
,,,,,Stanwood,,98292-8097,US,37.740368,-79.35037, Southern Virginia University,233611,,,,,,"Biochemistry, Biology/Biological Sciences (General), Business/Commerce (General), Computer and Information Sciences (General), English Language and Literature (General), Human Development and Family Studies (General), Classics and Classical Languages/Literatures/Linguistics (General), Spanish Language and Literature, History (General), Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Philosophy, Psychology (General), Political Science and Government (General), Dramatic/Theatre Arts and Stagecraft (Other), Music (General), Visual and Performing Arts (General)"
,,,,,Seattle,,98118,US,37.556725,-79.081014, Sweet Briar College,233718,,,,,,"Biology/Biological Sciences (General), Business/Commerce (General), Curriculum and Instruction, Elementary Education and Teaching, Engineering Science, Creative Writing, History (General), Mathematics (General), Multi/Interdisciplinary Studies (Other), Environmental Science, Philosophy, Chemistry (General), Psychology (General), Anthropology (General), Economics (General), Political Science and Government (General), Art/Art Studies (General), Visual and Performing Arts (General), Biology/Biological Sciences (General), Business/Commerce (General), Curriculum and Instruction, Elementary Education and Teaching, Engineering Science, Creative Writing, History (General), Mathematics (General), Multi/Interdisciplinary Studies (Other), Environmental Science, Philosophy, Chemistry (General), Psychology (General), Anthropology (General), Economics (General), Political Science and Government (General), Art/Art Studies (General), Visual and Performing Arts (General)"
,,,,,Yakima,,98942,US,36.970602,-82.559656, University of Virginia's College at Wise,233897,,,,,,"Business/Commerce (General), Management Information Systems (General), Computer Science, Computer Software Engineering, English Language and Literature (General), Registered Nursing/Registered Nurse, History (General), Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Biological and Physical Sciences, Social Sciences (General)"
,,,,,Seattle,,98118,US,37.229012,-80.423675, Virginia Polytechnic Institute and State University,233921,,,,,,"Agribusiness/Agricultural Business Operations, Agricultural Economics, Agriculture (General), Agronomy and Crop Science, Animal Sciences (General), Dairy Science, Food Science, Horticultural Science, Veterinary Medicine, Veterinary Sciences/Veterinary Clinical Sciences (General), Architectural and Building Sciences/Technology, Architecture, City/Urban/Community/Regional Planning, Landscape Architecture, Biochemistry, Bioinformatics, Biological and Biomedical Sciences (Other), Biology/Biological Sciences (General), Biomedical Sciences (General), Computational Biology, Entomology, Microbiology (General), Neuroscience, Plant Pathology/Phytopathology, Accounting, Business Administration and Management (General), Business/Commerce (General), Construction Management (General), Finance (General), Hospitality Administration/Management (General), Management Science, Marketing/Marketing Management (General), Real Estate, Communication and Media Studies (Other), Speech Communication and Rhetoric, Animation/Interactive Technology/Video Graphics/Special Effects, Computer and Information Sciences and Support Services (Other), Computer and Information Sciences (General), Counselor Education/School Counseling and Guidance Services, Curriculum and Instruction, Educational Administration and Supervision (Other), Educational Statistics and Research Methods, Higher Education/Higher Education Administration, Trade and Industrial Teacher Education, Aerospace/Aeronautical/Astronautical/Space Engineering (General), Agricultural Engineering, Bioengineering and Biomedical Engineering, Chemical Engineering, Civil Engineering (General), Computer Engineering (General), Construction Engineering, Electrical and Electronics Engineering, Engineering Mechanics, Engineering (Other), Environmental/Environmental Health Engineering, Industrial Engineering, Materials Engineering, Mechanical Engineering, Mining and Mineral Engineering, Naval Architecture and Marine Engineering, Nuclear Engineering, Polymer/Plastics Engineering, Systems Engineering, Packaging Science, Creative Writing, English Language and Literature (General), Rhetoric and Composition, Business Family and Consumer Sciences/Human Sciences, Foods/Nutrition/Wellness Studies (General), Human Development and Family Studies (General), Foreign Languages and Literatures (General), Dietetics/Dietitian, Medicine, Public Health (General), History (General), Applied Statistics (General), Mathematics (General), Statistics (General), Data Science (General), Historic Preservation and Conservation (General), Science/Technology and Society, Environmental Science, Environmental Studies, Environmental/Natural Resources Management and Policy (General), Environmental/Natural Resources Management and Policy (Other), Fishing and Fisheries Sciences and Management, Forest Resources Production and Management, Forestry (General), Forestry (Other), Wildlife/Fish and Wildlands Science and Management, Philosophy, Religion/Religious Studies (Other), Chemistry (General), Geology/Earth Science (General), Meteorology, Physical Sciences (Other), Physics (General), Psychology (General), Public Administration, Public Policy Analysis (General), Applied Economics, Econometrics and Quantitative Economics, Economics (General), Geography, International Relations and Affairs, Political Science and Government (General), Social Sciences (Other), Sociology (General), Urban Studies/Affairs, Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Industrial and Product Design, Interior Design, Music (General)"
,,,,,Seattle,,98133,US,37.54962,-77.452697, Virginia Commonwealth University,234030,,,,,,"AfricanAmerican/Black Studies, Area Studies (Other), Women's Studies, Anatomy, Biochemistry, Bioinformatics, Biology/Biological Sciences (General), Biomedical Sciences (General), Biostatistics, Epidemiology, Exercise Physiology and Kinesiology, Human/Medical Genetics, Medical Microbiology and Bacteriology, Neuroscience, Pharmacology, Physiology (General), Accounting, Business Administration and Management (General), Business/Commerce (General), Business/Managerial Economics, Finance and Financial Management Services (Other), Finance (General), Logistics/Materials/Supply Chain Management, Management Science, Marketing/Marketing Management (General), Real Estate, Mass Communication/Media Studies, Computer and Information Sciences (General), Information Science/Studies, Adult and Continuing Education and Teaching, Art Teacher Education, Counselor Education/School Counseling and Guidance Services, Curriculum and Instruction, Early Childhood Education and Teaching, Education (General), Educational Leadership and Administration (General), Elementary Education and Teaching, Health Teacher Education, Physical Education Teaching and Coaching, Reading Teacher Education, Secondary Education and Teaching, Special Education and Teaching (General), Bioengineering and Biomedical Engineering, Chemical and Biomolecular Engineering, Chemical Engineering, Computer Engineering (General), Electrical and Electronics Engineering, Engineering (General), Engineering (Other), Mechanical Engineering, Nanotechnology, Creative Writing, English Language and Literature (General), Adult Development and Aging, Foreign Languages and Literatures (General), Clinical Laboratory Science/Medical Technology/Technologist, Clinical Pastoral Counseling/Patient Counseling, Dental Clinical Sciences (General), Dental Hygiene/Hygienist, Dentistry, Genetic Counseling/Counselor, Health Professions and Related Clinical Sciences (Other), Health/Health Care Administration/Management, Medicine, Nurse Anesthetist, Nursing Practice, Nursing Science, Occupational Therapy/Therapist, Oral Biology and Oral and Maxillofacial Pathology, Pharmaceutical Sciences, Pharmacy, Physical Therapy/Therapist, Public Health Education and Promotion, Public Health (General), Public Health (Other), Radiologic Technology/Science Radiographer, Registered Nursing/Registered Nurse, Substance Abuse/Addiction Counseling, Vocational Rehabilitation Counseling/Counselor, History (General), Criminal Justice/Law Enforcement Administration, Forensic Science and Technology, Homeland Security/Law Enforcement/Firefighting and Related Protective Services (Other), Mathematics and Statistics (Other), Mathematics (General), Biological and Physical Sciences, Multi/Interdisciplinary Studies (General), Multi/Interdisciplinary Studies (Other), Natural Sciences, Environmental Studies, Sport and Fitness Administration/Management, Philosophy, Religion/Religious Studies, Chemistry (General), Chemistry (Other), Physics (General), Physics (Other), Clinical Psychology, Counseling Psychology, Health/Medical Psychology, Psychology (General), Public Administration, Social Work, Anthropology (General), Econometrics and Quantitative Economics, Political Science and Government (General), Sociology (General), Urban Studies/Affairs, Art History/Criticism and Conservation, Cinematography and Film/Video Production, Crafts/Craft Design/Folk Art and Artisanry, Dance (General), Design and Applied Arts (Other), Design and Visual Communications (General), Drama and Dramatics/Theatre Arts (General), Fashion/Apparel Design, Fine Arts and Art Studies (Other), Graphic Design, Illustration, Interior Design, Music Performance (General), Painting, Photography, Sculpture"
