Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Phone,URL,Languages,Devices_available,Accessibility,Clients,Public,School,Longitude,Latitude,Programslist
Ballard Neighborhood Service Center,King,Ballard Neighborhood Service Center,Government/Public Community Center,5604 22nd Ave NW,Seattle,,98107,US,[+1] 206-233-5061,http://www.seattle.gov/neighborhoods/nsc/ballard.htm,English,Computer,None,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, On-site Residents, Seniors, Small Businesses, Youth: Teen",All Public, University of Georgia,-83.374039,33.956262,"Agribusiness/Agricultural Business Operations, Agricultural and Extension Education Services, Agricultural and Horticultural Plant Breeding, Agricultural Communication/Journalism, Agricultural Economics, Agriculture (General), Agronomy and Crop Science, Animal Health, Animal Sciences (General), Dairy Science, Food Science, Food Technology and Processing, Horticultural Science, Large Animal/Food Animal and Equine Surgery and Medicine, Plant Protection and Integrated Pest Management, Poultry Science, Small/Companion Animal Surgery and Medicine, Soil Science and Agronomy (General), Turf and Turfgrass Management, Veterinary Infectious Diseases, Veterinary Medicine, City/Urban/Community/Regional Planning, Environmental Design/Architecture, Landscape Architecture, AfricanAmerican/Black Studies, Latin American and Caribbean Studies, Women's Studies, Biochemistry and Molecular Biology, Bioinformatics, Biology/Biological Sciences (General), Biostatistics, Biotechnology, Botany/Plant Biology, Cell/Cellular Biology and Histology, Ecology, Entomology, Epidemiology, Genetics (General), Marine Biology and Biological Oceanography, Microbiology (General), Molecular Medicine, Neuroscience, Plant Pathology/Phytopathology, Toxicology, Accounting, Business Administration and Management (General), Business Statistics, Business/Commerce (General), Business/Managerial Economics, Fashion Merchandising, Finance (General), Hospitality Administration/Management (General), Insurance, Management Information Systems (General), Management Science, Marketing/Marketing Management (General), NonProfit/Public/Organizational Management, Real Estate, Social Entrepreneurship, Advertising, Digital Communication and Media/Multimedia, Journalism, Journalism (Other), Mass Communication/Media Studies, Public Relations/Image Management, Speech Communication and Rhetoric, Artificial Intelligence, Computer and Information Systems Security/Auditing/Information Assurance, Computer Science, Web Page/Digital/Multimedia and Information Resources Design, Adult and Continuing Education and Teaching, Agricultural Teacher Education, Art Teacher Education, College Student Counseling and Personnel Services, Counselor Education/School Counseling and Guidance Services, Early Childhood Education and Teaching, Education (General), Educational Evaluation and Research, Educational Leadership and Administration (General), Educational/Instructional Technology, Elementary Education and Teaching, English/Language Arts Teacher Education, Family and Consumer Sciences/Home Economics Teacher Education, Foreign Language Teacher Education, Higher Education/Higher Education Administration, Junior High/Intermediate/Middle School Education and Teaching, Mathematics Teacher Education, Music Teacher Education, Reading Teacher Education, Science Teacher Education/General Science Teacher Education, Social Studies Teacher Education, Special Education and Teaching (General), Teaching English as a Second or Foreign Language/ESL Language Instructor, Technical Teacher Education, Agricultural Engineering, Biochemical Engineering, Biological/Biosystems Engineering, Civil Engineering (General), Computer Engineering (General), Electrical and Electronics Engineering, Engineering (General), Environmental/Environmental Health Engineering, Mechanical Engineering, English Language and Literature (General), Apparel and Textiles (General), Child Development, Consumer Economics, Family and Consumer Sciences/Human Sciences Communication, Family Resource Management Studies (General), Housing and Human Environments (General), Human Development and Family Studies (General), Classics and Classical Languages/Literatures/Linguistics (General), Comparative Literature, East Asian Languages/Literatures/Linguistics (General), French Language and Literature, German Language and Literature, Latin Language and Literature, Linguistics, Romance Languages/Literatures/Linguistics (General), Russian Language and Literature, Spanish Language and Literature, Communication Sciences and Disorders (General), Environmental Health, Health/Health Care Administration/Management, Music Therapy/Therapist, Pharmaceutical Sciences, Pharmaceutics and Drug Design, Pharmacy, Public Health Education and Promotion, Public Health (General), History (General), Criminal Justice/Law Enforcement Administration, Advanced Legal Research/Studies (General), Law, Programs for Foreign Lawyers, Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Statistics (General), Biological and Physical Sciences, Cognitive Science (General), Computational Science, Historic Preservation and Conservation (General), Marine Sciences, Nutrition Sciences, Sustainability Studies, Environmental Science, Environmental Studies, Environmental/Natural Resource Recreation and Tourism, Forest Sciences and Biology, Forestry (General), Natural Resources/Conservation (General), Wildlife/Fish and Wildlands Science and Management, Exercise Science and Kinesiology, Sport and Fitness Administration/Management, Sports/Kinesiology/Physical Education/Fitness (General), Philosophy, Religion/Religious Studies, Astronomy, Atmospheric Sciences and Meteorology (General), Chemistry (General), Geology/Earth Science (General), Materials Science, Physics (General), Applied Behavior Analysis, Counseling Psychology, Educational Psychology, Industrial and Organizational Psychology, Psychology (General), Research and Experimental Psychology (Other), Public Administration, Social Work, Anthropology (General), Econometrics and Quantitative Economics, Economics (General), Geography, International Relations and Affairs, Political Science and Government (General), Sociology (General), Art History/Criticism and Conservation, Art/Art Studies (General), Dance (General), Drama and Dramatics/Theatre Arts (General), Film/Cinema/Media Studies, Fine/Studio Arts (General), Music Performance (General), Music Theory and Composition, Music (General)"
Island Public Library,Whatcom,Whatcom County Library System,Library,2144 S Nugent Rd,Lummi Island,,98262,US,[+1] 360-758-7145,http://www.wcls.org,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, LaGrange College,-85.043113,33.038564,"Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), NonProfit/Public/Organizational Management, Curriculum and Instruction, Education (General), Elementary Education and Teaching, Music Teacher Education, Teacher Education/Multiple Levels, English Language and Literature (General), Mental Health Counseling/Counselor, Registered Nursing/Registered Nurse, History (General), General Studies, Exercise Science and Kinesiology, Philosophy and Religious Studies (General), Chemistry (General), Psychology (General), Political Science and Government (General), Sociology (General), Drama and Dramatics/Theatre Arts (General), Music Technology, Music (General), Musical Theatre, Visual and Performing Arts (General)"
Foster Library,King,King County Library System,Library,4060 S144th,Seattle,,98178-0039,US,[+1] 206-242-1640,http://www.kcls.org/foster/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Life University,-84.514729,33.932781,"Biology/Biological Sciences (General), Exercise Physiology and Kinesiology, Business Administration and Management (General), Computer/Information Technology Services Administration and Management (Other), Culinary Science/Culinology, Human Nutrition, Chiropractic, Clinical Nutrition/Nutritionist, Health Professions and Related Clinical Sciences (Other), General Studies, Biopsychology, Psychology (General)"
Greenbridge Library,King,King County Library System,Library,9720 8th Ave SW,Seattle,,98106,US,[+1] 206-762-1682,http://www.kcls.org/greenbridge/,"English, Language Line Services","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Herzing University-Atlanta,-84.387251,33.754218,"Business Administration and Management (General), Business Administration/Management and Operations (Other), Network and System Administration/Administrator, Health and Wellness (General), Health Information/Medical Records Administration/Administrator, Health/Health Care Administration/Management, Registered Nursing/Registered Nurse, Criminal Justice/Safety Studies, Homeland Security (Other), Legal Assistant/Paralegal, Multi/Interdisciplinary Studies (General)"
Wallingford Branch,King,Seattle Public Library,Library,1501 N. 45th St.,Seattle,,98103,US,[+1] 206-684-4088,http://www.spl.org/locations/wallingford-branch/wal-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Mercer University,-83.649392,32.829134,"AfricanAmerican/Black Studies, Regional Studies (U.S./Canadian/Foreign), Women's Studies, Biochemistry, Biology/Biological Sciences (General), Biomedical Sciences (General), Neuroscience, Accounting, Business Administration and Management (General), Business/Commerce (General), Entrepreneurship/Entrepreneurial Studies, Finance (General), Human Resources Development, Human Resources Management/Personnel Administration (General), International Business/Trade/Commerce, Management Science, Marketing (Other), Marketing/Marketing Management (General), Organizational Leadership, Journalism, Mass Communication/Media Studies, Speech Communication and Rhetoric, Technical and Scientific Communication, Computer and Information Systems Security/Auditing/Information Assurance, Computer Programming/Specific Platforms, Computer Science, Informatics, Information Science/Studies, Information Technology, Counselor Education/School Counseling and Guidance Services, Curriculum and Instruction, Early Childhood Education and Teaching, Educational Leadership and Administration (General), Elementary Education and Teaching, Higher Education/Higher Education Administration, Junior High/Intermediate/Middle School Education and Teaching, Music Teacher Education, Secondary Education and Teaching, Bioengineering and Biomedical Engineering, Civil Engineering (General), Computer Engineering (General), Computer Software Engineering, Electrical and Electronics Engineering, Engineering (General), Mechanical Engineering, Engineering/Industrial Management, Creative Writing, English Language and Literature (General), French Language and Literature, Spanish Language and Literature, Adult Health Nurse/Nursing, Athletic Training/Trainer, Family Practice Nurse/Nursing, Health Information/Medical Records Administration/Administrator, Health/Health Care Administration/Management, International Public Health/International Health, Marriage and Family Therapy/Counseling, Medicine, Mental and Social Health Services and Allied Professions (Other), Mental Health Counseling/Counselor, Nursing Science, Pharmaceutical Sciences, Pharmacy, Physical Therapy/Therapist, Physician Assistant, PreMedicine/PreMedical Studies, Public Health (General), Registered Nursing/Registered Nurse, Vocational Rehabilitation Counseling/Counselor, History (General), Criminal Justice/Law Enforcement Administration, Criminal Justice/Safety Studies, Homeland Security, Law, Liberal Arts and Sciences/Liberal Studies, Mathematics (General), International/Globalization Studies, Multi/Interdisciplinary Studies (Other), Philosophy, Religion/Religious Studies, Chemistry (General), Chemistry (Other), Physics (General), Clinical Psychology, Psychology (General), Human Services (General), Public Policy Analysis (General), Anthropology (General), Criminology, Economics (General), International Relations and Affairs, Political Science and Government (General), Sociology (General), Divinity/Ministry, Religious/Sacred Music, Theology/Theological Studies, Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Graphic Design, Music Performance (General), Music (General)"
Yesler Computer Lab,King,Associated Recreation Council - RecTech,Government/Public Community Center,917 E Yesler Way Seattle,Seattle,,98122,US,[+1] 206-615-1579,http://www.seattle.gov/parks/rectech/labs/yesler/,"English, Vietnamese","Computer, Wi-Fi",None,"Adults, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Morehouse College,-84.414917,33.745982,"African Studies, Chinese Studies, Biology/Biological Sciences (General), Business Administration and Management (General), Communication (General), Computer Science, Computer Software Engineering, Engineering Physics/Applied Physics, Engineering Science, English Language and Literature (General), Spanish Language and Literature, History (General), Mathematics (General), International/Globalization Studies, Sports/Kinesiology/Physical Education/Fitness (General), Philosophy, Religion/Religious Studies, Chemistry (General), Physics (General), Psychology (General), Economics (General), Political Science and Government (General), Sociology (General), Art History/Criticism and Conservation, Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Film/Cinema/Media Studies, Music (General)"
Hoquiam Timberland Library,Grays Harbor,Hoquiam,Library,420 7th St,Hoquiam,,98550-3616,US,[+1] 360-532-1710,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Oglethorpe University,-84.333687,33.875441,"Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Human Resources Management/Personnel Administration (General), Communication (General), Mass Communication/Media Studies, Public Relations/Advertising/Applied Communication, Engineering (General), English Language and Literature (General), Rhetoric and Composition, French Language and Literature, Spanish Language and Literature, History (General), Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Biopsychology, Philosophy, Astrophysics, Chemistry (General), Physics (General), Research and Experimental Psychology (Other), Economics (General), International Relations and Affairs, Political Science and Government (General), Sociology (General), Art History/Criticism and Conservation, Drama and Dramatics/Theatre Arts (General), Film/Cinema/Media Studies, Fine/Studio Arts (General)"
Sammamish Library,King,King County Library System,Library,825 228th Ave NE,Redmond,,98074-6501,US,[+1] 425-836-8793,http://www.kcls.org/sammamish/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Paine College,-81.993225,33.469545,"Biology/Biological Sciences (General), Business Administration and Management (General), Mass Communication/Media Studies, History (General), Mathematics (General), Psychology (General), Sociology (General)"
Coupeville Library,Island,Sno-Isle Libraries,Library,788 NW Alexander,Coupeville,,98239-0745,US,[+1] 360-678-4911,http://www.sno-isle.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Piedmont University,-83.542126,34.566042,"Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Finance (General), Hospitality Administration/Management (General), Management Sciences and Quantitative Methods (Other), Marketing/Marketing Management (General), Mass Communication/Media Studies, Sports Communication, Computer and Information Sciences (General), Art Teacher Education, Biology Teacher Education, Curriculum and Instruction, Drama and Dance Teacher Education, Education (General), Education/Teaching of the Gifted and Talented, Educational/Instructional Technology, Elementary Education and Teaching, English/Language Arts Teacher Education, History Teacher Education, Junior High/Intermediate/Middle School Education and Teaching, Mathematics Teacher Education, Science Teacher Education/General Science Teacher Education, Special Education and Teaching (General), Engineering Physics/Applied Physics, Creative Writing, Athletic Training/Trainer, Cardiovascular Technology/Technologist, Health and Wellness (General), Health Services Administration, Registered Nursing/Registered Nurse, History (General), Criminal Justice/Safety Studies, Forensic Science and Technology, General Studies, Applied Mathematics (General), Multi/Interdisciplinary Studies (General), Environmental Science, Exercise Science and Kinesiology, Sport and Fitness Administration/Management, Chemistry (General), Psychology (General), Political Science and Government (General), Sociology and Anthropology, Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Graphic Design, Music Performance (General)"
Bridgeport Community Library,Douglas,North Central Regional Library,Library,1206 Columbia St,Bridgeport,,98813,US,[+1] 509-686-7281,http://www.ncrl.org/bridgeport.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Reinhardt University,-84.554264,34.319756,"Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Marketing/Marketing Management (General), Organizational Leadership, Communication and Media Studies (Other), Digital Communication and Media/Multimedia, Biology Teacher Education, Elementary Education and Teaching, History Teacher Education, Junior High/Intermediate/Middle School Education and Teaching, Mathematics Teacher Education, Music Teacher Education, Creative Writing, Health/Health Care Administration/Management, Registered Nursing/Registered Nurse, History (General), Criminal Justice/Safety Studies, Cyber/Computer Forensics and Counterterrorism, Mathematics (General), Mathematics (Other), Multi/Interdisciplinary Studies (General), Sport and Fitness Administration/Management, Psychology (General), Public Administration, Sociology (General), Drama and Dramatics/Theatre Arts (General), Music (General), Musical Theatre, Visual and Performing Arts (General), Voice and Opera"
Eatonville Library,Pierce,Pierce County Library Sytem,Library,205 Center St,Eatonville,,98328-0069,US,[+1] 253-548-3311,http://www.piercecountylibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Savannah College of Art and Design,-81.09395,32.072964,"Equestrian/Equine Studies, Architectural and Building Sciences/Technology, Architectural History and Criticism (General), City/Urban/Community/Regional Planning, Management Sciences and Quantitative Methods (Other), Digital Communication and Media/Multimedia, Radio and Television, Animation/Interactive Technology/Video Graphics/Special Effects, Recording Arts Technology/Technician, Information Technology Project Management, Applied Engineering, Manufacturing Engineering, Professional/Technical/Business/Scientific Writing, Apparel and Textile Marketing Management, Consumer Merchandising/Retailing Management, Historic Preservation and Conservation (General), Human Computer Interaction, Sustainability Studies, Systems Science and Theory, Art History/Criticism and Conservation, Cinematography and Film/Video Production, Design and Visual Communications (General), Drama and Dramatics/Theatre Arts (General), Fashion/Apparel Design, Fiber/Textile and Weaving Arts, Film/Cinema/Media Studies, Fine and Studio Arts Management, Illustration, Interior Design, Jewelry Arts, Painting, Photography, Playwriting and Screenwriting, Sculpture, Technical Theatre/Theatre Design and Technology"
Edmonds Library,Snohomish,Sno-Isle Libraries,Library,650 Main St,Edmonds,,98020-3097,US,[+1] 425-771-1933,http://www.sno-isle.org,"English, ASL","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Savannah State University,-81.063377,32.024781,"Ethnic/Cultural Minority/Gender/Group Studies (Other), Biology/Biological Sciences (General), Marine Biology and Biological Oceanography, Accounting, Business Administration and Management (General), Business/Commerce (General), International Business/Trade/Commerce, Marketing/Marketing Management (General), Journalism, Information Science/Studies, Biology Teacher Education, Junior High/Intermediate/Middle School Education and Teaching, Technology Teacher Education/Industrial Arts Teacher Education, Civil Engineering Technologies/Technicians, Computer Engineering Technology/Technician, Electrical/Electronic/Communications Engineering Technology/Technician, Mechanical/Mechanical Engineering Technology/Technician, English Language and Literature (General), History (General), Corrections and Criminal Justice (Other), Forensic Science and Technology, Homeland Security/Law Enforcement/Firefighting and Related Protective Services (Other), Mathematics (General), Multi/Interdisciplinary Studies (General), Chemistry (General), Geology/Earth Science (General), Developmental and Child Psychology, Public Administration, Social Work, Political Science and Government (General), Sociology (General), Visual and Performing Arts (General)"
Green Lake Branch,King,Seattle Public Library,Library,7364 E. Green Lake Dr. N.,Seattle,,98115,US,[+1] 206-684-7547,http://www.spl.org/locations/green-lake-branch/glk-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Shorter University,-85.196529,34.257543,"Biochemistry, Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Marketing/Marketing Management (General), Communication (General), Computer and Information Sciences (General), Education/Teaching of Individuals in Elementary Special Education Programs, Elementary Education and Teaching, History Teacher Education, Junior High/Intermediate/Middle School Education and Teaching, Mathematics Teacher Education, Music Teacher Education, Teacher Education and Professional Development/Specific Levels and Methods (Other), English Language and Literature (General), Registered Nursing/Registered Nurse, History (General), Criminal Justice/Safety Studies, Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Multi/Interdisciplinary Studies (General), Natural Sciences, Sport and Fitness Administration/Management, Religion/Religious Studies, Chemistry (General), Psychology (General), Human Services (General), Political Science and Government (General), Worship Ministry, Drama and Dramatics/Theatre Arts (General), Keyboard Instruments, Voice and Opera"
Roy City Library,Pierce,Roy City Library,Library,122 3rd St,Roy,,98580,US,[+1] 253-843-2331,http://roylibrary.home.comcast.net/,English,Computer,"None, Wheelchair accessible","Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Spelman College,-84.411527,33.745279,"Women's Studies, Biochemistry, Biology/Biological Sciences (General), Computer and Information Sciences (General), Elementary Education and Teaching, Teacher Education/Multiple Levels, English Language and Literature (General), Spanish Language and Literature, Health Services/Allied Health/Health Sciences (General), History (General), Mathematics (General), International/Globalization Studies, Multi/Interdisciplinary Studies (Other), Environmental Science, Philosophy, Religion/Religious Studies, Chemistry (General), Physics (General), Psychology (General), Economics (General), Political Science and Government (General), Sociology and Anthropology, Sociology (General), Art History/Criticism and Conservation, Dance (General), Documentary Production, Drama and Dramatics/Theatre Arts (General), Fine Arts and Art Studies (Other), Music (General), Photography"
Mukilteo Library,Snohomish,Sno-Isle Libraries,Library,4675 Harbour Pointe Blvd,Mukilteo,,98275-4725,US,[+1] 425-493-8202,http://www.sno-isle.org,"English, Japanese, Russian","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Thomas University,-83.963587,30.815576,"Biology/Biological Sciences (General), Biomedical Sciences (General), Business Administration and Management (General), Human Resources Management and Services (Other), Marketing/Marketing Management (General), Computer/Information Technology Services Administration and Management (Other), Curriculum and Instruction, Early Childhood Education and Teaching, Educational Leadership and Administration (General), Junior High/Intermediate/Middle School Education and Teaching, Secondary Education and Teaching, Clinical/Medical Laboratory Technician, Mental Health Counseling/Counselor, Registered Nursing/Nursing Administration/Nursing Research and Clinical Nursing (Other), Vocational Rehabilitation Counseling/Counselor, Criminal Justice/Law Enforcement Administration, Multi/Interdisciplinary Studies (Other), Environmental/Natural Resources Management and Policy (Other), Psychology (Other), Social Work, Biology/Biological Sciences (General), Biomedical Sciences (General), Business Administration and Management (General), Human Resources Management and Services (Other), Marketing/Marketing Management (General), Computer/Information Technology Services Administration and Management (Other), Curriculum and Instruction, Early Childhood Education and Teaching, Educational Leadership and Administration (General), Junior High/Intermediate/Middle School Education and Teaching, Secondary Education and Teaching, Clinical/Medical Laboratory Technician, Mental Health Counseling/Counselor, Registered Nursing/Nursing Administration/Nursing Research and Clinical Nursing (Other), Vocational Rehabilitation Counseling/Counselor, Criminal Justice/Law Enforcement Administration, Multi/Interdisciplinary Studies (Other), Environmental/Natural Resources Management and Policy (Other), Psychology (Other), Social Work"
Parkland Spanaway Library,Pierce,Pierce County Library Sytem,Library,13718 Pacific Ave S,Tacoma,,98444-4746,US,[+1] 253-548-3304,http://www.piercecountylibrary.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Toccoa Falls College,-83.357617,34.593414,"Biology/Biological Sciences (General), Business Administration and Management (General), NonProfit/Public/Organizational Management, Organizational Leadership, Communication (General), Elementary Education and Teaching, English/Language Arts Teacher Education, History Teacher Education, Junior High/Intermediate/Middle School Education and Teaching, Multicultural Education, Music Teacher Education, English Language and Literature (General), Ancient Near Eastern and Biblical Languages/Literatures/Linguistics, Registered Nursing/Registered Nurse, History (General), Liberal Arts and Sciences/Liberal Studies, Sustainability Studies, Outdoor Education, Sport and Fitness Administration/Management, Philosophy, Counseling Psychology, Bible/Biblical Studies, Divinity/Ministry, Missions/Missionary Studies, Religious Education, Youth Ministry, Music Performance (General), Music (General), Biology/Biological Sciences (General), Business Administration and Management (General), NonProfit/Public/Organizational Management, Organizational Leadership, Communication (General), Elementary Education and Teaching, English/Language Arts Teacher Education, History Teacher Education, Junior High/Intermediate/Middle School Education and Teaching, Multicultural Education, Music Teacher Education, English Language and Literature (General), Ancient Near Eastern and Biblical Languages/Literatures/Linguistics, Registered Nursing/Registered Nurse, History (General), Liberal Arts and Sciences/Liberal Studies, Sustainability Studies, Outdoor Education, Sport and Fitness Administration/Management, Philosophy, Counseling Psychology, Bible/Biblical Studies, Divinity/Ministry, Missions/Missionary Studies, Religious Education, Youth Ministry, Music Performance (General), Music (General)"
Naches Library,Yakima,Yakima Valley Libraries,Library,303 Naches Ave,Naches,,98937,US,[+1] 509-653-2005,http://www.yvl.org,"English, Spanish",Adaptive Laptops,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Truett McConnell University,-83.748911,34.596306,"Biology/Biological Sciences (General), Business Administration and Management (General), Business/Commerce (General), Elementary Education and Teaching, Junior High/Intermediate/Middle School Education and Teaching, Music Teacher Education, English Language and Literature (General), Registered Nursing/Registered Nurse, History (General), Corrections and Criminal Justice (Other), Criminal Justice/Safety Studies, Liberal Arts and Sciences (General) Studies and Humanities (Other), Multi/Interdisciplinary Studies (Other), Exercise Science and Kinesiology, Counseling Psychology, Psychology (General), Bible/Biblical Studies, Missions/Missionary Studies, Theology/Theological Studies, Music (Other), Biology/Biological Sciences (General), Business Administration and Management (General), Business/Commerce (General), Elementary Education and Teaching, Junior High/Intermediate/Middle School Education and Teaching, Music Teacher Education, English Language and Literature (General), Registered Nursing/Registered Nurse, History (General), Corrections and Criminal Justice (Other), Criminal Justice/Safety Studies, Liberal Arts and Sciences (General) Studies and Humanities (Other), Multi/Interdisciplinary Studies (Other), Exercise Science and Kinesiology, Counseling Psychology, Psychology (General), Bible/Biblical Studies, Missions/Missionary Studies, Theology/Theological Studies, Music (Other)"
Tonasket Community Library,Okanogan,North Central Regional Library,Library,209 A Whitcomb,Tonasket,,98855,US,[+1] 509-486-2366,http://www.ncrl.org/tonasket.htm,"English, Russian, Spanish",Adaptive Laptops,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Valdosta State University,-83.289282,30.847402,"Biology/Biological Sciences (General), Exercise Physiology and Kinesiology, Accounting, Administrative Assistant and Secretarial Science (General), Business Administration and Management (General), Business/Commerce (General), Business/Managerial Economics, Finance (General), International Business/Trade/Commerce, Marketing/Marketing Management (General), Organizational Leadership, Digital Communication and Media/Multimedia, Mass Communication/Media Studies, Speech Communication and Rhetoric, Computer and Information Sciences (General), Information Science/Studies, Adult and Continuing Education Administration, Art Teacher Education, Counselor Education/School Counseling and Guidance Services, Curriculum and Instruction, Early Childhood Education and Teaching, Educational Leadership and Administration (General), Educational/Instructional/Curriculum Supervision, Educational/Instructional Technology, Elementary Education and Teaching, Foreign Language Teacher Education, Junior High/Intermediate/Middle School Education and Teaching, Music Teacher Education, Physical Education Teaching and Coaching, Secondary Education and Teaching, Special Education and Teaching (General), Teacher Education and Professional Development/Specific Levels and Methods (Other), Teaching English as a Second or Foreign Language/ESL Language Instructor, Technology Teacher Education/Industrial Arts Teacher Education, Trade and Industrial Teacher Education, Industrial Production Technologies/Technicians (Other), English Language and Literature (General), French Language and Literature, Sign Language Interpretation and Translation, Spanish Language and Literature, Health Services/Allied Health/Health Sciences (General), Health/Health Care Administration/Management, Marriage and Family Therapy/Counseling, Registered Nursing/Registered Nurse, SpeechLanguage Pathology/Pathologist, History (General), Criminal Justice/Safety Studies, Legal Assistant/Paralegal, Liberal Arts and Sciences (General) Studies and Humanities (Other), Library and Information Science, Applied Mathematics (General), Mathematics (General), Sports/Kinesiology/Physical Education/Fitness (Other), Philosophy and Religious Studies (General), Astronomy, Chemistry (General), Geology/Earth Science (General), Physics (General), Psychology (General), Public Administration, Social Work, Political Science and Government (General), Sociology and Anthropology, Sociology (General), Art/Art Studies (General), Dance (General), Drama and Dramatics/Theatre Arts (General), Interior Design, Music Performance (General), Music (General)"
Bellingham Public Library,Whatcom,Bellingham Public Library,Library,210 Central Ave,Bellingham,,98227-9710,US,[+1] 360-778-7323,http://www.bellinghampubliclibrary.org,English,Adaptive Laptops,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Wesleyan College,-83.715417,32.876037,"Women's Studies, Biology/Biological Sciences (General), Neurobiology and Neurosciences (Other), Accounting, Business Administration and Management (General), International Business/Trade/Commerce, Advertising, Data Processing and Data Processing Technology/Technician, Elementary Education and Teaching, English Language and Literature (General), Spanish Language and Literature, Registered Nursing/Registered Nurse, History (General), Multi/Interdisciplinary Studies (Other), Environmental Studies, Sport and Fitness Administration/Management, Religion/Religious Studies, Chemistry (General), Applied Psychology, Industrial and Organizational Psychology, Psychology (General), Economics (General), International Relations and Affairs, Political Science and Government (Other), Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Music (General)"
